ID [IRI]	LABEL
http://purl.obolibrary.org/obo/CL_0000456	mineralocorticoid secreting cell
http://purl.obolibrary.org/obo/CL_0000457	biogenic amine secreting cell
http://purl.obolibrary.org/obo/CL_0000458	serotonin secreting cell
http://purl.obolibrary.org/obo/CL_0000459	noradrenergic cell
http://purl.obolibrary.org/obo/CL_0000460	glucocorticoid secreting cell
http://purl.obolibrary.org/obo/CL_0000464	epidermoblast
http://purl.obolibrary.org/obo/CL_0000467	adrenocorticotropic hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000470	digestive enzyme secreting cell
http://purl.obolibrary.org/obo/CL_0000476	thyrotroph
http://purl.obolibrary.org/obo/CL_0000478	oxytocin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000479	vasopressin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000480	secretin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000481	cholecystokin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000482	juvenile hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000483	bombesin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000484	connective tissue type mast cell
http://purl.obolibrary.org/obo/CL_0000485	mucosal type mast cell
http://purl.obolibrary.org/obo/CL_0000488	visible light photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000489	scotopic photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000490	photopic photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000492	CD4-positive helper T cell
http://purl.obolibrary.org/obo/CL_0000494	UV sensitive photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000495	blue sensitive photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000496	green sensitive photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000497	red sensitive photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000498	inhibitory interneuron
http://purl.obolibrary.org/obo/CL_0000499	stromal cell
http://purl.obolibrary.org/obo/CL_0000500	follicular epithelial cell
http://purl.obolibrary.org/obo/CL_0000501	granulosa cell
http://purl.obolibrary.org/obo/CL_0000502	type D enteroendocrine cell
http://purl.obolibrary.org/obo/CL_0000503	theca cell
http://purl.obolibrary.org/obo/CL_0000504	enterochromaffin-like cell
http://purl.obolibrary.org/obo/CL_0000505	substance P secreting cell
http://purl.obolibrary.org/obo/CL_0000506	enkephalin secreting cell
http://purl.obolibrary.org/obo/CL_0000507	endorphin secreting cell
http://purl.obolibrary.org/obo/CL_0000508	type G enteroendocrine cell
http://purl.obolibrary.org/obo/CL_0000509	gastrin secreting cell
http://purl.obolibrary.org/obo/CL_0000510	paneth cell
http://purl.obolibrary.org/obo/CL_0000511	androgen binding protein secreting cell
http://purl.obolibrary.org/obo/CL_0000513	cardiac muscle myoblast
http://purl.obolibrary.org/obo/CL_0000514	smooth muscle myoblast
http://purl.obolibrary.org/obo/CL_0000515	skeletal muscle myoblast
http://purl.obolibrary.org/obo/CL_0000516	perineuronal satellite cell
http://purl.obolibrary.org/obo/CL_0000517	macrophage derived foam cell
http://purl.obolibrary.org/obo/CL_0000518	phagocyte (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000523	mononuclear cytotrophoblast cell
http://purl.obolibrary.org/obo/CL_0000525	syncytiotrophoblast cell
http://purl.obolibrary.org/obo/CL_0000526	afferent neuron
http://purl.obolibrary.org/obo/CL_0000527	efferent neuron
http://purl.obolibrary.org/obo/CL_0000528	nitrergic neuron
http://purl.obolibrary.org/obo/CL_0000529	pigmented epithelial cell
http://purl.obolibrary.org/obo/CL_0000540	neuron
http://purl.obolibrary.org/obo/CL_0000541	melanoblast
http://purl.obolibrary.org/obo/CL_0000542	lymphocyte
http://purl.obolibrary.org/obo/CL_0000544	slowly adapting mechanoreceptor cell
http://purl.obolibrary.org/obo/CL_0000545	T-helper 1 cell
http://purl.obolibrary.org/obo/CL_0000546	T-helper 2 cell
http://purl.obolibrary.org/obo/CL_0000547	proerythroblast
http://purl.obolibrary.org/obo/CL_0000549	basophilic erythroblast
http://purl.obolibrary.org/obo/CL_0000550	polychromatophilic erythroblast
http://purl.obolibrary.org/obo/CL_0000551	unimodal nocireceptor
http://purl.obolibrary.org/obo/CL_0000552	orthochromatic erythroblast
http://purl.obolibrary.org/obo/CL_0000553	megakaryocyte progenitor cell
http://purl.obolibrary.org/obo/CL_0000554	gastrin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000556	megakaryocyte
http://purl.obolibrary.org/obo/CL_0000557	granulocyte monocyte progenitor cell
http://purl.obolibrary.org/obo/CL_0000558	reticulocyte
http://purl.obolibrary.org/obo/CL_0000559	promonocyte
http://purl.obolibrary.org/obo/CL_0000560	band form neutrophil
http://purl.obolibrary.org/obo/CL_0000561	amacrine cell
http://purl.obolibrary.org/obo/CL_0000562	nucleate erythrocyte
http://purl.obolibrary.org/obo/CL_0000564	neutrophilic promyelocyte
http://purl.obolibrary.org/obo/CL_0000565	fat body cell
http://purl.obolibrary.org/obo/CL_0000566	angioblastic mesenchymal cell
http://purl.obolibrary.org/obo/CL_0000567	polymodal nocireceptor
http://purl.obolibrary.org/obo/CL_0000568	amine precursor uptake and decarboxylation cell
http://purl.obolibrary.org/obo/CL_0000569	cardiac mesenchymal cell
http://purl.obolibrary.org/obo/CL_0000570	parafollicular cell
http://purl.obolibrary.org/obo/CL_0000571	leucophore
http://purl.obolibrary.org/obo/CL_0000573	retinal cone cell
http://purl.obolibrary.org/obo/CL_0000574	erythrophore
http://purl.obolibrary.org/obo/CL_0000575	corneal epithelial cell
http://purl.obolibrary.org/obo/CL_0000576	monocyte
http://purl.obolibrary.org/obo/CL_0000577	type EC enteroendocrine cell
http://purl.obolibrary.org/obo/CL_0000578	experimentally modified cell in vitro
http://purl.obolibrary.org/obo/CL_0000580	neutrophilic myelocyte
http://purl.obolibrary.org/obo/CL_0000581	peritoneal macrophage
