X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
93,0,2.783939623,0.878,0.144,0,Immune cells,CPVL
94,2.04e-232,2.745861475,0.978,0.171,4.82e-228,Melanocytes,GPM6B
95,0,2.729120635,0.901,0.15,0,Fibroblasts,COL6A3
96,2.89e-302,2.727215103,0.86,0.131,6.83e-298,Neural cells,CADM1
97,0,2.717111061,0.572,0.029,0,Fibroblasts,C3
98,0,2.713601694,0.709,0.011,0,Immune cells,RGS1
99,0,2.708059956,0.916,0.004,0,Melanocytes,BCAN
100,0,2.705728626,0.625,0.166,0,Smooth muscle cells,MT1A
101,0,2.70346533,0.922,0.053,0,Vascular endothelial cells,PECAM1
102,0,2.691876424,0.353,0.01,0,Immune cells,EREG
103,0,2.675731179,0.35,0.012,0,Keratinocytes,S100A8
104,0,2.669484997,0.9,0.071,0,Fibroblasts,MEG3
105,0,2.655639884,0.723,0.121,0,Smooth muscle cells,NDUFA4L2
106,0,2.618058343,0.899,0.079,0,Melanocytes,PHACTR1
107,0,2.591052022,0.893,0,0,Melanocytes,TYR
108,0,2.564783399,0.766,0.017,0,Lymphatic endothelial cells,LYVE1
109,0,2.550103775,0.859,0.231,0,Fibroblasts,CXCL12
110,0,2.541057686,0.855,0.004,0,Immune cells,PLEK
111,8.85e-176,2.530706765,0.944,0.209,2.09e-171,Melanocytes,TUBB2B
112,4.82e-214,2.523789088,0.843,0.126,1.14e-209,Melanocytes,FRZB
113,0,2.513677873,0.785,0.047,0,Neural cells,NTM
114,0,2.512256249,0.983,0.171,0,Vascular endothelial cells,CD74
115,0,2.494905417,0.949,0.011,0,Keratinocytes,DSC3
116,0,2.486354437,0.794,0.043,0,Vascular endothelial cells,VWF
117,0,2.46266671,0.328,0.019,0,Keratinocytes,S100A9
118,0,2.458095572,0.941,0.021,0,Keratinocytes,FXYD3
119,4.8e-118,2.444904092,0.69,0.198,1.13e-113,Neural cells,FSTL3
120,0,2.431648445,0.899,0.001,0,Melanocytes,SLCO4A1-AS1
121,0,2.428393286,0.809,0.035,0,Melanocytes,CRABP1
122,0,2.421214836,0.949,0.103,0,Melanocytes,SNCA
123,0,2.417518001,0.549,0.011,0,Keratinocytes,SBSN
124,0,2.407369533,0.42,0.101,0,Fibroblasts,ASPN
125,0,2.405151219,0.886,0.102,0,Immune cells,GLIPR1
126,0,2.40324243,0.315,0.039,0,Fibroblasts,COMP
127,6.54e-210,2.403089265,0.938,0.177,1.55e-205,Melanocytes,C4orf48
128,0,2.384345519,0.884,0.181,0,Lymphatic endothelial cells,CAVIN2
129,0,2.383809471,0.848,0.109,0,Fibroblasts,VCAN
130,0,2.37934145,0.512,0.021,0,Neural cells,SCN7A
131,0,2.376009714,0.774,0.143,0,Fibroblasts,COL5A2
132,0,2.373533973,0.87,0.058,0,Lymphatic endothelial cells,LAPTM5
133,0,2.372145284,0.798,0.021,0,Keratinocytes,CLDN1
